schuin2,	0.124000,	0.202000,	0.123656,	0.124000,	0.000000,	0.123656,	PORT 1 NAAR PORT 3, B6.6, O6.4
schuin3,	0.170000,	0.202000,	0.123656,	0.124000,	0.000000,	0.123656,	PORT 0 NAAR PORT 3, B6.8, O6.4
schuin4,	0.124000,	0.202000,	0.123656,	0.170000,   0.000000,	0.123656,	PORT 1 NAAR PORT 2, B6.6, O6.2
schuin1,	0.202000,	0.170000,	0.123656,	0.000000,	0.170000,	0.123656,	PORT 0 NAAR PORT 2, L6.2, R6.8
schuin2,	0.202000,	0.124000,	0.123656,	0.000000,	0.124000,	0.123656,	PORT 1 NAAR PORT 3, L6.4, R6.6
schuin3,	0.202000,	0.170000,	0.123656,	0.000000,	0.124000,	0.123656,	PORT 0 NAAR PORT 3, L6.2, B6.6
schuin4,	0.202000,	0.124000,	0.123656,	0.000000,	0.170000,	0.123656,	PORT 1 NAAR PORT 2, L6.4, B6.8
schuin1,	0.032000,	0.000000,	0.168984,	0.032000,	0.202000,	0.168984,	PORT 0 NAAR PORT 2, O8.8, B8.2
schuin2,	0.078000,	0.000000,	0.168984,	0.078000,	0.202000,	0.168984,	PORT 1 NAAR PORT 3, O8.6, B8.4
schuin3,	0.032000,	0.000000,	0.168984,	0.078000,	0.202000,	0.168984,	PORT 0 NAAR PORT 3, O8.8, B8.4
schuin4,	0.078000,	0.000000,	0.168984,	0.032000,	0.202000,	0.168984,	PORT 1 NAAR PORT 2, O8.6, B8.2
schuin1,	0.000000,	0.032000,	0.168984,	0.202000,	0.032000,	0.168984,	PORT 0 NAAR PORT 2, R8.2, L8.8
schuin2,	0.000000,	0.078000,	0.168984,	0.202000,	0.078000,	0.168984,	PORT 1 NAAR PORT 3, R8.4, L8.6
schuin3,	0.000000,	0.032000,	0.168984,	0.202000,	0.078000,	0.168984,	PORT 0 NAAR PORT 3, R8.2, L8.6
schuin4,	0.000000,	0.078000,	0.168984,	0.202000,	0.032000,	0.168984,	PORT 1 NAAR PORT 2, R8.4, L8.8
schuin1,	0.170000,	0.202000,	0.168984,	0.170000,	0.000000,	0.168984,	PORT 0 NAAR PORT 2, B8.8, O8.2
schuin2,	0.124000,	0.202000,	0.168984,	0.124000,	0.000000,	0.168984,	PORT 1 NAAR PORT 3, B8.6, O8.4
