line1, 0.166,0.000,0.166,0.166,1.000,0.166
line2, 0.333,0.000,0.166,0.333,1.000,0.166
line3, 0.500,0.000,0.166,0.500,1.000,0.166
line4, 0.666,0.000,0.166,0.666,1.000,0.166
line5, 0.834,0.000,0.166,0.834,1.000,0.166
line6, 0.000,0.166,0.166,1.000,0.166,0.166
line7, 0.000,0.333,0.166,1.000,0.333,0.166
line8, 0.000,0.500,0.166,1.000,0.500,0.166
line9, 0.000,0.666,0.166,1.000,0.666,0.166
line10, 0.000,0.834,0.166,1.000,0.834,0.166
line11, 0.166,0.000,0.333,0.166,1.000,0.333
line12, 0.333,0.000,0.333,0.333,1.000,0.333
line13, 0.500,0.000,0.333,0.500,1.000,0.333
line14, 0.666,0.000,0.333,0.666,1.000,0.333
line15, 0.834,0.000,0.333,0.834,1.000,0.333
line16, 0.000,0.166,0.333,1.000,0.166,0.333
line17, 0.000,0.333,0.333,1.000,0.333,0.333
line18, 0.000,0.500,0.333,1.000,0.500,0.333
line19, 0.000,0.666,0.333,1.000,0.666,0.333
line20, 0.000,0.834,0.333,1.000,0.834,0.333
line21, 0.166,0.000,0.500,0.166,1.000,0.500
line22, 0.333,0.000,0.500,0.333,1.000,0.500
line23, 0.500,0.000,0.500,0.500,1.000,0.500
line24, 0.666,0.000,0.500,0.666,1.000,0.500
line25, 0.834,0.000,0.500,0.834,1.000,0.500
line26, 0.000,0.166,0.500,1.000,0.166,0.500
line27, 0.000,0.333,0.500,1.000,0.333,0.500
line28, 0.000,0.500,0.500,1.000,0.500,0.500
line29, 0.000,0.666,0.500,1.000,0.666,0.500
line30, 0.000,0.834,0.500,1.000,0.834,0.500
line31, 0.166,0.000,0.666,0.166,1.000,0.666
line32, 0.333,0.000,0.666,0.333,1.000,0.666
line33, 0.500,0.000,0.666,0.500,1.000,0.666
line34, 0.666,0.000,0.666,0.666,1.000,0.666
line35, 0.834,0.000,0.666,0.834,1.000,0.666
line36, 0.000,0.166,0.666,1.000,0.166,0.666
line37, 0.000,0.333,0.666,1.000,0.333,0.666
line38, 0.000,0.500,0.666,1.000,0.500,0.666
line39, 0.000,0.666,0.666,1.000,0.666,0.666
line40, 0.000,0.834,0.666,1.000,0.834,0.666
line41, 0.166,0.000,0.834,0.166,1.000,0.834
line42, 0.333,0.000,0.834,0.333,1.000,0.834
line43, 0.500,0.000,0.834,0.500,1.000,0.834
line44, 0.666,0.000,0.834,0.666,1.000,0.834
line45, 0.834,0.000,0.834,0.834,1.000,0.834
line46, 0.000,0.166,0.834,1.000,0.166,0.834
line47, 0.000,0.333,0.834,1.000,0.333,0.834
line48, 0.000,0.500,0.834,1.000,0.500,0.834
line49, 0.000,0.666,0.834,1.000,0.666,0.834
line50, 0.000,0.834,0.834,1.000,0.834,0.834
line51, 0.166,0.166,0.000,0.166,0.166,1.000
line52, 0.166,0.333,0.000,0.166,0.333,1.000
line53, 0.166,0.500,0.000,0.166,0.500,1.000
line54, 0.166,0.666,0.000,0.166,0.666,1.000
line55, 0.166,0.834,0.000,0.166,0.834,1.000
line56, 0.333,0.166,0.000,0.333,0.166,1.000
line57, 0.333,0.333,0.000,0.333,0.333,1.000
line58, 0.333,0.500,0.000,0.333,0.500,1.000
line59, 0.333,0.666,0.000,0.333,0.666,1.000
line60, 0.333,0.834,0.000,0.333,0.834,1.000
line61, 0.500,0.166,0.000,0.500,0.166,1.000
line62, 0.500,0.333,0.000,0.500,0.333,1.000
line63, 0.500,0.500,0.000,0.500,0.500,1.000
line64, 0.500,0.666,0.000,0.500,0.666,1.000
line65, 0.500,0.834,0.000,0.500,0.834,1.000
line66, 0.666,0.166,0.000,0.666,0.166,1.000
line67, 0.666,0.333,0.000,0.666,0.333,1.000
line68, 0.666,0.500,0.000,0.666,0.500,1.000
line69, 0.666,0.666,0.000,0.666,0.666,1.000
line70, 0.666,0.834,0.000,0.666,0.834,1.000
line71, 0.834,0.166,0.000,0.834,0.166,1.000
line72, 0.834,0.333,0.000,0.834,0.333,1.000
line73, 0.834,0.500,0.000,0.834,0.500,1.000
line74, 0.834,0.666,0.000,0.834,0.666,1.000
line75, 0.834,0.834,0.000,0.834,0.834,1.000
